对不起;duì bù qǐ;Sorry *
你好;nǐ hǎo;Hello *
没关系;méi guān xì;Never mind/it doesn't matter *
关系;guān xì;n. Relationship/connection *
关心;guān xīn;v. Concerned about, care for *
谢谢;xiè xiè;Thank you *
不客气;bú kè qì;You're welcome *
再见;zài jiàn;Goodbye *
小气;xiǎo qì;adj. Petty, narrow-minded
小心;xiǎo xīn;v. To be careful, to take care *
一口气;yì kǒu qì;In one breath, without a break
叫好;jiào hǎo;v. To applaud, to cheer
名叫;míng jiào;v. To be called, to be named
没什么;méi shén me;It doesn't matter, never mind
名字;míng zì;Name *
小名;xiǎo míng;Pet name for a child, childhood name
名师;míng shī;Famous master, great teacher
老气;lǎo qì;adj. Old fashioned
再生;zài shēng;To be reborn, recycing
生气;shēng qì;To be angry, mad *
人生;rén shēng;n. Life (one's time on earth) *
人气;rén qì;adj. Popularity
老人;lǎo rén;n. old man or woman *
好心;hǎo xīn;Kindness, good intentions
人心;rén xīn;The will of the people
月月;yuè yuè;Every month
中心;zhōng xīn;n. Center
心中;xīn zhōng;In one's thoughts, at heart, in mind
中学生;zhōng xué shēng;Middle school student *
学生;xué shēng;Student *
汉语;hàn yǔ;Chinese language *
好汉;hǎo hàn;Brave man, hero
老汉;lǎo hàn;Old man
汉字;hàn zì;Chinese character  *
口语;kǒu yǔ;Spoken language *
语气;yǔ qì;Tone, manner of speaking
同学;tóng xué;Classmate, schoolmate *
好友;hǎo yǒu;Close friend
友好;yǒu hǎo;adj. Friendly
今生;jīn shēng;This life *
中年;zhōng nián;Middle age *
多心;duō xīn;v. Be over sensitive
大学;dà xué;University, college *
大小;dà xiǎo;Size, dimension
大人;dà rén;Adult *
岁月;suì yuè;n. Years, time
同岁;tóng suì;Same age
老了;lǎo le;Getting old *
了不起;liǎo bù qǐ;Amazing, terrific, extraordinary
大家;dà jiā;Everyone *
老人家;lǎo rén jiā;Polite term for old woman or man
有名;yǒu míng;Famous, well known *
口水;kǒu shuǐ;Saliva *
生水;shēng shuǐ;Unboiled water
山水;shān shuǐ;n. Water flowing from a mountain
再会;zài huì;Until we meet again, goodbye
做人;zuò rén;To conduct oneself, to behave with integrity
上菜;shàng cài;To serve dishes
小吃;xiǎo chī;Snack, refreshment *
口吃;kǒu chī;v. To stammer, to stutter
小说;xiǎo shuō;n. novel
做东;zuò dōng;v. act as a host to somebody, treat somebody to something
东西;dōng xī;n. Thing, stuff *
天生;tiān shēng;Nature, natural
昨天;zuó tiān;Yesterday *
明天;míng tiān;Tomorrow *
说明;shuō míng;To explain, show, an explanation
明月;míng yuè;Bright moon
口号;kǒu hào;n. slogan
大号;dà hào;adj. large size
中号;zhōng hào;adj. medium size
几月几号;jǐ yuè jǐ hào;What date (is it) *
去年;qù nián;Last year *
老去;lǎo qù;To become old
学校;xué xiào;School *
学友;xué yǒu;Schoolmate *
看见;kàn jiàn;v. To catch sight of *
看上去;kàn shàng qù;It would appear, it seems
看不起;kàn bù qǐ;Look down upon
人五人六;rén wǔ rén liù;Make a show of being decent and proper
一五一十;yì wǔ yì shí;To narrate in full detail
请问;qǐng wèn;Excuse me, may I ask... *
请客;qǐng kè;v. invite guests, treat somebody to a meal, etc. *
问好;wèn hǎo;v. to give regards to, to say hello to
问号;wèn hào;n. question mark
学问;xué wèn;n. Learning, knowledge
星期;xīng qī;Week *
明星;míng xīng;Star, celebrity
星期几;xīng qī jǐ;What day (of the week)
学期;xué qī;n. semester
上星期;shàng xīng qī;Last week
星期天;xīng qī tiān;Sunday *
想起;xiǎng qǐ;Think of, recall
茶杯;chá bēi;Teacup *
茶几;chá jī;A small side table, coffee table
一块儿;yī kuài ér;Together
